year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1997, 6.7, 10.82, 17.5, 17.95, 23.14, 23.97, 27.52, 27.88, 25.56, 18.72, 11.25, 7.26, 18.23
1998, 6.85, 12.97, 14.42, 16.1, 22.38, 26.7, 29.17, 29.45, 23.32, 17.47, 10.47, 6.32, 18
1999, 7.92, 9.57, 13.32, 17.94, 22.88, 25.85, 29.1, 27.23, 24.5, 17.46, 10.63, 6.12, 17.76
2000, 6.6, 10.78, 14.46, 16.53, 23.33, 26.95, 26.64, 28.23, 24.46, 16.76, 10.35, 7.78, 17.76
2001, 5.41, 10.39, 12.84, 16.08, 22.96, 26.12, 28.28, 29.57, 21.04, 19.47, 10.35, 5.79, 17.4
2002, 6.33, 9.76, 15.33, 16.53, 20.88, 27.34, 27.1, 26.24, 21.85, 17.45, 12.46, 7.51, 17.44
2003, 6.78, 6.88, 15.04, 16.75, 24.96, 31.52, 30.77, 33.36, 24.37, 15.63, 11.19, 7.95, 18.84
2004, 5.89, 8.52, 11.62, 17.42, 20.79, 27.11, 28.58, 29.26, 24.93, 18.07, 12.73, 8.42, 17.8
2005, 7.2, 7.6, 13.22, 16.1, 23.82, 28.11, 29.72, 26.89, 24.03, 17.19, 9.96, 5.6, 17.51
2006, 5.12, 7.5, 11.79, 18.5, 22.75, 27.83, 31.77, 26.88, 26.16, 20.28, 13.56, 8.77, 18.46
2007, 9.55, 11.29, 15.36, 22.03, 24.44, 26.71, 30.75, 28.88, 23.44, 17.82, 12.08, 7.7, 19.21
2008, 8.48, 11, 15.25, 17.43, 22.57, 26.88, 29.62, 29.91, 23.98, 19.81, 13.1, 7.27, 18.8
2009, 5.17, 9.24, 15.01, 19.02, 26.87, 28.4, 30.92, 31.62, 26.16, 19.41, 12.17, 6.6, 19.27
2010, 4.75, 8.07, 12.56, 18.89, 21.65, 27.11, 31.72, 28.26, 24.62, 17.11, 11.88, 5.3, 17.71
2011, 6.08, 10.62, 13.85, 22.61, 25.62, 26.53, 28.59, 31.48, 28.08, 20.06, 13.58, 10.02, 19.8
2012, 9.19, 7.25, 19.1, 17.59, 23.44, 28.96, 31.47, 32.54, 25.12, 19.61, 14.04, 7.18, 19.67
2013, 7.56, 7.21, 10.74, 17.54, 21.01, 27.21, 30.87, 29.64, 25.58, 18, 13.23, 9.58, 18.24
2014, 9.02, 10.55, 16.73, 20.65, 23.66, 28.22, 28.2, 27.62, 26.14, 21.03, 14.89, 9.99, 19.77
2015, 10.35, 9.91, 15.63, 20.61, 25.07, 29.17, 34.17, 30.6, 25.61, 18.6, 15.4, 10.52, 20.53
2016, 8.64, 11.3, 15.22, 20.86, 22.54, 27.92, 31.98, 31.03, 29.37, 17.67, 12, 9.12, 19.82
2017, 6.89, 10.17, 17.58, 20.87, 24.21, 30.76, 31.13, 32.35, 24.12, 20.99, 12.76, 7.94, 20.04
2018, 9.8, 7.71, 11.03, 21.36, 24.12, 28.91, 31.27, 31.74, 27.62, 21.08, 13.24, 9.3, 19.83
