,IDsensore,DataOra,Misura,Valido
234,8140,2018-01-14 08:00:00.000,1.7,100
235,8140,2018-01-14 09:00:00.000,1.3,100
236,8140,2018-01-14 10:00:00.000,2.5,100
237,8140,2018-01-14 11:00:00.000,4.3,0
238,8140,2018-01-14 12:00:00.000,5.3,0
239,8140,2018-01-14 13:00:00.000,5.2,0
240,8140,2018-01-14 14:00:00.000,5.1,100
241,8140,2018-01-14 15:00:00.000,5.3,100
242,8140,2018-01-14 16:00:00.000,5.3,100
243,8140,2018-01-14 17:00:00.000,3.9,100
244,8140,2018-01-14 18:00:00.000,2.1,100
245,8140,2018-01-14 19:00:00.000,2.1,100
246,8140,2018-01-14 20:00:00.000,2.6,100
247,8140,2018-01-14 21:00:00.000,3.2,100
248,8140,2018-01-14 22:00:00.000,3.2,100
249,8140,2018-01-14 23:00:00.000,3.3,100
250,8140,2018-01-15 00:00:00.000,3.5,100
251,8140,2018-01-15 01:00:00.000,3.4,100
252,8140,2018-01-15 02:00:00.000,3.1,100
253,8140,2018-01-15 03:00:00.000,2.8,100
254,8140,2018-01-15 04:00:00.000,2.7,100
255,8140,2018-01-15 05:00:00.000,2.8,100
256,8140,2018-01-15 06:00:00.000,3.0,100
257,8140,2018-01-15 07:00:00.000,3.2,100
258,8140,2018-01-15 08:00:00.000,2.9,100
259,8140,2018-01-15 09:00:00.000,3.0,100
260,8140,2018-01-15 10:00:00.000,3.3,100
261,8140,2018-01-15 11:00:00.000,3.8,100
262,8140,2018-01-15 12:00:00.000,4.2,100
263,8140,2018-01-15 13:00:00.000,4.2,100
264,8140,2018-01-15 14:00:00.000,4.1,100
265,8140,2018-01-15 15:00:00.000,4.3,100
266,8140,2018-01-15 16:00:00.000,4.5,100
267,8140,2018-01-15 17:00:00.000,3.7,100
268,8140,2018-01-15 18:00:00.000,3.2,100
269,8140,2018-01-15 19:00:00.000,3.0,100
270,8140,2018-01-15 20:00:00.000,2.9,100
271,8140,2018-01-15 21:00:00.000,2.9,100
272,8140,2018-01-15 22:00:00.000,2.7,100
273,8140,2018-01-15 23:00:00.000,2.6,100
274,8140,2018-01-16 00:00:00.000,2.2,100
275,8140,2018-01-16 01:00:00.000,2.0,100
276,8140,2018-01-16 02:00:00.000,2.0,100
277,8140,2018-01-16 03:00:00.000,1.9,100
278,8140,2018-01-16 04:00:00.000,1.8,100
279,8140,2018-01-16 05:00:00.000,1.7,100
280,8140,2018-01-16 06:00:00.000,1.7,100
281,8140,2018-01-16 07:00:00.000,1.8,100
282,8140,2018-01-16 08:00:00.000,1.9,100
283,8140,2018-01-16 09:00:00.000,2.0,100
284,8140,2018-01-16 10:00:00.000,2.1,100
285,8140,2018-01-16 11:00:00.000,2.3,100
286,8140,2018-01-16 12:00:00.000,2.5,100
287,8140,2018-01-16 13:00:00.000,3.5,100
288,8140,2018-01-16 14:00:00.000,6.7,100
289,8140,2018-01-16 15:00:00.000,6.8,100
290,8140,2018-01-16 16:00:00.000,6.3,100
291,8140,2018-01-16 17:00:00.000,5.0,100
292,8140,2018-01-16 18:00:00.000,3.9,100
293,8140,2018-01-16 19:00:00.000,3.3,100
294,8140,2018-01-16 20:00:00.000,3.0,100
295,8140,2018-01-16 21:00:00.000,2.4,100
296,8140,2018-01-16 22:00:00.000,1.8,100
297,8140,2018-01-16 23:00:00.000,1.4,100
298,8140,2018-01-17 00:00:00.000,2.6,100
299,8140,2018-01-17 01:00:00.000,1.8,100
300,8140,2018-01-17 02:00:00.000,1.9,100
301,8140,2018-01-17 03:00:00.000,1.8,100
302,8140,2018-01-17 04:00:00.000,1.3,100
303,8140,2018-01-17 05:00:00.000,1.2,100
304,8140,2018-01-17 06:00:00.000,1.2,100
305,8140,2018-01-17 07:00:00.000,1.2,100
306,8140,2018-01-17 08:00:00.000,1.4,100
307,8140,2018-01-17 09:00:00.000,1.6,100
308,8140,2018-01-17 10:00:00.000,1.7,100
309,8140,2018-01-17 11:00:00.000,2.6,100
310,8140,2018-01-17 12:00:00.000,7.2,100
311,8140,2018-01-17 13:00:00.000,10.3,100
312,8140,2018-01-17 14:00:00.000,10.2,100
313,8140,2018-01-17 15:00:00.000,10.7,100
314,8140,2018-01-17 16:00:00.000,9.7,100
315,8140,2018-01-17 17:00:00.000,7.5,100
316,8140,2018-01-17 18:00:00.000,6.4,100
317,8140,2018-01-17 19:00:00.000,6.0,100
318,8140,2018-01-17 20:00:00.000,5.3,100
319,8140,2018-01-17 21:00:00.000,4.9,100
320,8140,2018-01-17 22:00:00.000,5.0,100
321,8140,2018-01-17 23:00:00.000,5.0,100
322,8140,2018-01-18 00:00:00.000,3.6,100
323,8140,2018-01-18 01:00:00.000,2.6,100
324,8140,2018-01-18 02:00:00.000,1.5,100
325,8140,2018-01-18 03:00:00.000,1.8,100
326,8140,2018-01-18 04:00:00.000,2.0,100
327,8140,2018-01-18 05:00:00.000,0.6,100
328,8140,2018-01-18 06:00:00.000,-0.3,100
329,8140,2018-01-18 07:00:00.000,-0.4,100
330,8140,2018-01-18 08:00:00.000,0.1,100
331,8140,2018-01-18 09:00:00.000,0.6,100
332,8140,2018-01-18 10:00:00.000,1.7,100
333,8140,2018-01-18 11:00:00.000,6.9,100
334,8140,2018-01-18 12:00:00.000,9.9,100
335,8140,2018-01-18 13:00:00.000,10.4,100
336,8140,2018-01-18 14:00:00.000,10.7,100
337,8140,2018-01-18 15:00:00.000,10.3,100
338,8140,2018-01-18 16:00:00.000,10.1,100
339,8140,2018-01-18 17:00:00.000,8.7,100
340,8140,2018-01-19 01:00:00.000,2.6,100
341,8140,2018-01-19 02:00:00.000,3.3,100
342,8140,2018-01-19 03:00:00.000,3.9,100
343,8140,2018-01-19 04:00:00.000,6.1,100
344,8140,2018-01-19 05:00:00.000,6.3,100
